rank,neighbourhood,center_lat,center_lon,atm_score,n_foreign,n_airbnb,n_hotels,n_attractions,n_zti,n_commercial,n_atm_scarcity,n_fx_scarcity,airbnb_count,hotel_count,atm_count_500m,fx_bureau_count_500m,business_explanation
1,Buttes-Montmartre,48.88400000000008,2.3369999999999873,0.7060021886794482,0.8397696421912002,0.9936046201177203,1.0,0.19047619047619047,0.9141632712355117,0.9121739363555932,0.3214610050012612,0.2568710612201684,2419,45,5,6,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
2,Buttes-Montmartre,48.88400000000008,2.340999999999987,0.6740327777984034,0.8585431459074551,1.0,0.8088070096607465,0.09523809523809523,1.0,0.8444813811962141,0.3242167230713496,0.2853606501776125,2501,36,5,5,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
3,Bourse,48.87000000000006,2.348999999999986,0.6675687019547593,0.8986620760547576,1.0,0.8537407324196767,0.047619047619047616,0.5425954008192753,0.9852282780622498,0.29664555333657144,0.3395810004267957,2914,38,6,3,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
4,Luxembourg,48.85400000000004,2.3329999999999878,0.6445048593996912,0.9567062787767646,0.4657906735070256,1.0,0.09523809523809523,1.0,1.0,0.29443975494088925,0.33325328195212567,1134,51,6,3,high foreign tourist ratio; strong hotel cluster; in/near international tourism zone; active commercial street
5,Temple,48.864000000000054,2.3629999999999844,0.6429728575732468,0.9348025108304734,0.9619768583363791,0.47180408896876874,0.047619047619047616,0.8870476749655476,0.9986327444304436,0.3330479408457123,0.4594189402489897,2342,21,5,0,high foreign tourist ratio; dense short-stay accommodation; in/near international tourism zone; active commercial street
6,Popincourt,48.864000000000054,2.366999999999984,0.6370871251272151,0.9152041371727851,0.8079455509597172,0.5841383958660946,0.047619047619047616,0.9698480407518738,0.9396530924103906,0.3499292637874214,0.4820593038800612,1967,26,4,0,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
7,Buttes-Montmartre,48.88600000000008,2.3329999999999878,0.6219640895980686,0.8226310332506738,0.7566017818341633,0.7414064255223509,0.14285714285714285,0.9322381809991969,0.6373823758076187,0.39966506778457916,0.3431180042144959,1842,33,3,3,high foreign tourist ratio; dense short-stay accommodation; strong hotel cluster; in/near international tourism zone; active commercial street
8,Temple,48.85800000000005,2.3609999999999847,0.6204766578352567,0.9792297885184956,0.7898725442275222,0.2920691979330473,0.09523809523809523,1.0,1.0,0.3787467104211815,0.3978794683182048,1923,13,3,1,high foreign tourist ratio; dense short-stay accommodation; in/near international tourism zone; active commercial street
9,Louvre,48.86600000000006,2.3349999999999875,0.6186991582652303,0.9373102318928724,0.39267714627223677,0.9211413165580723,0.047619047619047616,1.0,0.9182059462212804,0.32851568198558667,0.25694429684776926,956,41,5,6,high foreign tourist ratio; strong hotel cluster; in/near international tourism zone; active commercial street
10,Luxembourg,48.856000000000044,2.340999999999987,0.6177231631192502,0.9801816613895264,0.42923390988963117,0.8537407324196767,0.09523809523809523,0.9679106779704489,0.7251816305192886,0.35761616422337766,0.20133685885624225,1045,38,5,8,high foreign tourist ratio; strong hotel cluster; in/near international tourism zone; active commercial street
11,Hôtel-de-Ville,48.86000000000005,2.356999999999985,0.6170817006562354,0.9755639460575448,0.9985336219537736,0.13480116827679106,0.047619047619047616,1.0,1.0,0.32737376694698234,0.37182357723338544,2431,6,4,2,high foreign tourist ratio; dense short-stay accommodation; in/near international tourism zone; active commercial street
12,Temple,48.85800000000005,2.3649999999999842,0.6135573398517594,0.9608865747053174,0.7405825258669905,0.38193664345090805,0.047619047619047616,1.0,0.9805367148333819,0.3734686495723233,0.41132119599696504,1803,17,4,1,high foreign tourist ratio; dense short-stay accommodation; in/near international tourism zone; active commercial street
13,Buttes-Montmartre,48.88600000000008,2.3449999999999864,0.6128710505307293,0.8625048870470816,1.0,0.38193664345090805,0.09523809523809523,0.8272837782538623,0.9001099166242187,0.3417873330882703,0.35177214531263745,2463,17,5,3,high foreign tourist ratio; dense short-stay accommodation; in/near international tourism zone; active commercial street
14,Temple,48.86800000000006,2.3609999999999847,0.6100190755147953,0.9024963501418182,0.9710133617024767,0.38193664345090805,0.09523809523809523,0.6820921078672917,0.8739712072062407,0.3227196467479668,0.4513783843050109,2364,17,5,0,high foreign tourist ratio; dense short-stay accommodation; in/near international tourism zone; active commercial street
15,Buttes-Montmartre,48.88800000000008,2.338999999999987,0.6049719876080033,0.849656670852965,0.9319920971670556,0.42687036620983837,0.23809523809523808,0.9006765632109691,0.6702233184096937,0.32639295698379733,0.38275972507375416,2269,19,5,1,high foreign tourist ratio; dense short-stay accommodation; in/near international tourism zone; active commercial street
