"Nom","Identifiant","Type","Sous-type","Sous-type","Commune","Code postal","Code INSEE","Département","Région","Latitude","Longitude","Site internet","Créateur","Mise à jour","Mise à jour DATAtourisme"
"Aparthotel Adagio Paris Montmartre","7313437","Lieu","Hébergement","Hébergement collectif","Paris","75018","75056","Paris","Île-de-France","48.883382","2.342706","https://www.adagio-city.com/fr/hotel-6792-aparthotel-adagio-paris-montmartre/index.shtml","Choose Paris Region","2025-04-04T00:00:00.000Z","2026-02-06T06:56:19.549Z"
"Hôtel Toujours","f559af70-2e87-11ed-b4fc-0050569afc27","Lieu","Hébergement","Hôtellerie","Paris","75116","75056","Paris","Île-de-France","48.876152","2.283468","https://hoteltoujours.paris/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.178Z"
"Sonder L’Edmond Parc Monceau","4812ab3e-e468-c15f-f74e-501ba09222c4","Lieu","Hébergement","Hôtellerie","Paris","75017","75056","Paris","Île-de-France","48.88219","2.3131795","http://sonder.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.171Z"
"Sonder Le Frochot","2c57e032-9300-aae1-5341-501ba0416ab9","Lieu","Hébergement","Hôtellerie","Paris","75009","75056","Paris","Île-de-France","48.88125","2.3377688","http://sonder.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Hôtel Bowmann","0c801fce-fc85-11e8-ae55-0050569a22ea","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.874844","2.3179448","https://www.hotelbowmannparis.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.176Z"
"Nuage","ada0c71e-e198-9305-3b1e-501ba0b8e446","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.87153","2.3121932","http://www.nuage.paris/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.173Z"
"Hôtel Mercure Paris La Sorbonne","6415bc73-32fd-48a9-c030-501b9fe26166","Lieu","Hébergement","Hôtellerie","Paris","75005","75056","Paris","Île-de-France","48.849377","2.3431356","http://mercurelasorbonne.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.171Z"
"Maison Delano Paris","42626d0a-e11a-8c83-b552-501ba00c1ef7","Lieu","Hébergement","Hôtellerie","Paris","75008","75056","Paris","Île-de-France","48.869488","2.3206646","http://maisondelanoparis.com/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.174Z"
"The Hoxton","d615ef78-9302-11e7-8984-0050569a22ea","Lieu","Hébergement","Hôtellerie","Paris","75002","75056","Paris","Île-de-France","48.870216","2.3464992","https://thehoxton.com/fr/paris/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.176Z"
"Libertel Austerlitz - Jardin des Plantes","70bbb5e3-6244-d963-085c-501ba0edb288","Lieu","Hébergement","Hôtellerie","Paris","75005","75056","Paris","Île-de-France","48.842358","2.3632486","http://www.hotels-libertel.com/fr/austerlitz-jardin-des-plantes/","Paris je t'aime - Office de Tourisme","2026-03-20T00:00:00.000Z","2026-03-20T15:49:18.172Z"
